ダウンロードした時刻：2021/04/16 06:52:29

集計開始,集計終了,京都,京都,京都
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,品質情報,均質番号
1916/2/11,1916/2/20,2.2,8,2
1916/2/21,1916/2/29,5.8,8,2
1916/3/1,1916/3/10,3.7,8,2
1916/3/11,1916/3/20,4.2,8,2
1916/3/21,1916/3/31,6.7,8,2
1916/11/1,1916/11/10,14.8,8,2
1916/11/11,1916/11/20,11.8,8,2
1916/11/21,1916/11/30,11.0,8,2
1916/12/1,1916/12/10,9.7,8,2
1916/12/11,1916/12/20,5.8,8,2
1916/12/21,1916/12/31,3.5,8,2
1917/1/1,1917/1/10,0.9,8,2
1917/1/11,1917/1/20,2.4,8,2
1917/1/21,1917/1/31,1.1,8,2
1917/2/1,1917/2/10,1.0,8,2
1917/2/11,1917/2/20,3.4,8,2
1917/2/21,1917/2/28,4.1,8,2
1917/3/1,1917/3/10,4.3,8,2
1917/3/11,1917/3/20,7.6,8,2
1917/3/21,1917/3/31,6.5,8,2
1917/11/1,1917/11/10,9.4,8,2
1917/11/11,1917/11/20,6.5,8,2
1917/11/21,1917/11/30,6.2,8,2
1917/12/1,1917/12/10,5.2,8,2
1917/12/11,1917/12/20,3.6,8,2
1917/12/21,1917/12/31,0.1,8,2
1918/1/1,1918/1/10,0.7,8,2
1918/1/11,1918/1/20,1.4,8,2
1918/1/21,1918/1/31,0.9,8,2
1918/2/1,1918/2/10,3.9,8,2
1918/2/11,1918/2/20,1.3,8,2
1918/2/21,1918/2/28,4.1,8,2
1918/3/1,1918/3/10,5.2,8,2
1918/3/11,1918/3/20,6.8,8,2
1918/3/21,1918/3/31,7.4,8,2
1918/11/1,1918/11/10,13.3,8,2
1918/11/11,1918/11/20,7.4,8,2
1918/11/21,1918/11/30,8.1,8,2
1918/12/1,1918/12/10,5.7,8,2
1918/12/11,1918/12/20,4.1,8,2
1918/12/21,1918/12/31,3.4,8,2
1919/1/1,1919/1/10,3.0,8,2
1919/1/11,1919/1/20,4.1,8,2
1919/1/21,1919/1/31,1.9,8,2
1919/2/1,1919/2/10,0.5,8,2
1919/2/11,1919/2/20,5.0,8,2
1919/2/21,1919/2/28,7.0,8,2
1919/3/1,1919/3/10,7.4,8,2
1919/3/11,1919/3/20,6.8,8,2
1919/3/21,1919/3/31,8.2,8,2
1919/11/1,1919/11/10,13.9,8,2
1919/11/11,1919/11/20,12.3,8,2
1919/11/21,1919/11/30,7.7,8,2
1919/12/1,1919/12/10,7.3,8,2
1919/12/11,1919/12/20,3.4,8,2
1919/12/21,1919/12/31,3.9,8,2
1920/1/1,1920/1/10,3.3,8,2
1920/1/11,1920/1/20,3.1,8,2
1920/1/21,1920/1/31,3.5,8,2
1920/2/1,1920/2/10,4.1,8,2
1920/2/11,1920/2/20,2.7,8,2
1920/2/21,1920/2/29,2.6,8,2
1920/3/1,1920/3/10,4.5,8,2
1920/3/11,1920/3/20,7.6,8,2
1920/3/21,1920/3/31,9.3,8,2
1920/11/1,1920/11/10,14.2,8,2
1920/11/11,1920/11/20,11.1,8,2
1920/11/21,1920/11/30,8.3,8,2
1920/12/1,1920/12/10,7.4,8,2
1920/12/11,1920/12/20,6.6,8,2
1920/12/21,1920/12/31,3.0,8,2
1921/1/1,1921/1/10,4.0,8,2
