avg_tempC,year,season
5.8,1949,late_Mar
10.9,1950,early_Nov
9.3,1950,mid_Nov
11.2,1950,late_Nov
8.1,1950,early_Dec
7.1,1950,mid_Dec
4.2,1950,late_Dec
4.6,1950,early_Jan
5.3,1950,mid_Jan
5.7,1950,late_Jan
5.8,1950,early_Feb
3.7,1950,mid_Feb
3.4,1950,late_Feb
6.9,1950,early_Mar
4.8,1950,mid_Mar
8.5,1950,late_Mar
14.2,1951,early_Nov
10,1951,mid_Nov
9.4,1951,late_Nov
5.8,1951,early_Dec
5.8,1951,mid_Dec
3.6,1951,late_Dec
4,1951,early_Jan
3.8,1951,mid_Jan
2.8,1951,late_Jan
